time,temperature,gas,humidity,pressure,altitude,pm10standard,pm25standard,pm100standard,pm10env,pm25env,pm100 env,p03um,p05um,p10um,p25um,p50um,p100um
Wed Feb 18 16:21:33 2026,37.117109375,122915,22.110867643451954,1007.9160616725567,44.50362907553792,0,0,0,0,0,0,156,46,2,0,0,0
Wed Feb 18 16:21:34 2026,37.15265625,123602,22.048893720662505,1007.9118114299833,44.539166863984654,0,0,0,0,0,0,156,46,2,0,0,0
Wed Feb 18 16:21:35 2026,37.2079296875,124123,22.095948535630875,1007.9183842977538,44.48420883220973,0,0,0,0,0,0,156,46,2,0,0,0
Wed Feb 18 16:21:36 2026,37.2505078125,124648,22.08290050139531,1007.9184702692818,44.48348999631163,0,0,0,0,0,0,156,46,2,0,0,0
Wed Feb 18 16:21:38 2026,37.2798046875,125443,22.05812451608327,1007.9146757363616,44.515217367213985,0,0,0,0,0,0,156,46,2,0,0,0
Wed Feb 18 16:21:39 2026,37.306171875,125800,22.07618409405673,1007.9185456536169,44.48285968341285,0,0,0,0,0,0,156,46,2,0,0,0
Wed Feb 18 16:21:40 2026,37.33390625,126159,22.072818477960798,1007.9104187598854,44.55081149994584,0,0,0,0,0,0,156,46,6,2,0,0
Wed Feb 18 16:21:41 2026,37.36359375,127892,22.150350953944137,1007.932139083933,44.369201223641106,0,0,0,0,0,0,156,46,6,2,0,0
Wed Feb 18 16:21:42 2026,37.39875,128077,22.346942226934157,1007.9307671551604,44.38067224619644,0,0,0,0,0,0,156,46,6,2,0,0
Wed Feb 18 16:21:43 2026,37.449921875,125354,22.6693265362567,1007.9359315289545,44.33749175518572,0,0,0,0,0,0,138,42,6,2,0,0
Wed Feb 18 16:21:44 2026,37.5044140625,125354,23.079527330052393,1007.9269346912691,44.412716454696834,0,0,0,0,0,0,138,42,6,2,0,0
Wed Feb 18 16:21:45 2026,37.5508984375,125354,23.37623488789381,1007.9191014094441,44.47821282969852,0,0,0,0,0,0,138,42,6,2,0,0
Wed Feb 18 16:21:46 2026,37.60265625,127985,23.396504422800554,1007.9145138827053,44.51657068243669,0,0,0,0,0,0,132,40,6,2,0,0
Wed Feb 18 16:21:47 2026,37.6583203125,127615,23.150869922028647,1007.9180562019369,44.48695214848435,0,0,0,0,0,0,132,40,6,2,0,0
Wed Feb 18 16:21:48 2026,37.7122265625,129579,22.921726258387512,1007.9169423602133,44.49626534827411,0,0,0,0,0,0,132,40,6,2,0,0
Wed Feb 18 16:21:49 2026,37.772578125,129674,22.6014141643383,1007.9156406015387,44.507149794529845,0,0,0,0,0,0,144,42,4,2,0,0
Wed Feb 18 16:21:50 2026,37.8278515625,130151,22.410943095761947,1007.9167250309424,44.498082511306194,0,0,0,0,0,0,144,42,4,2,0,0
Wed Feb 18 16:21:51 2026,37.86671875,130728,22.295022158092056,1007.9195414194792,44.47453376535781,0,0,0,0,0,0,144,42,4,2,0,0
Wed Feb 18 16:21:52 2026,37.916328125,132194,22.16917661768015,1007.9167155321976,44.49816193350911,0,0,0,0,0,0,132,38,4,2,0,0
